"katt","Lambda","perm","depositedClay","hMean","n","suspendedClay","hPrime2Mean","h","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0030211,236.48,9.94e-11,6.1431e-05,-6.1426e-05,0.358,3.4732e-07,-6.4107e-24,-6.1426e-05,3.3515e-07,4.543e-06,8.7133e-24,0.10456,-0.0076634,0
0.0030211,236.48,9.94e-11,6.1431e-05,-6.1426e-05,0.358,3.4732e-07,-6.4107e-24,-6.1426e-05,3.3515e-07,4.543e-06,8.7133e-24,0.10456,-0.0076634,0.29
0.0037364,236.48,9.9399e-11,0.0012359,-6.2886e-05,0.358,5.9167e-06,-6.6175e-24,-6.2886e-05,-6.4902e-07,5.5909e-06,-2.8862e-23,0.10763,-0.0075881,0
0.0037364,236.48,9.9399e-11,0.0012359,-6.2886e-05,0.358,5.9167e-06,-6.6175e-24,-6.2886e-05,-6.4902e-07,5.5909e-06,-2.8862e-23,0.10763,-0.0075881,0.29
0.0044942,236.48,9.9389e-11,0.012284,-6.1592e-05,0.35799,5.0169e-05,2.2747e-24,-6.1592e-05,-2.1453e-06,6.415e-06,-4.4709e-23,0.1107,-0.007382,0
0.0044942,236.48,9.9389e-11,0.012284,-6.1592e-05,0.35799,5.0169e-05,2.2747e-24,-6.1592e-05,-2.1453e-06,6.415e-06,-4.4709e-23,0.1107,-0.007382,0.29
0.005169,236.48,9.9329e-11,0.077708,-5.5804e-05,0.35793,0.00028069,2.8951e-24,-5.5804e-05,-4.0376e-06,6.6369e-06,-5.2639e-23,0.11377,-0.0070618,0
0.005169,236.48,9.9329e-11,0.077708,-5.5804e-05,0.35793,0.00028069,2.8951e-24,-5.5804e-05,-4.0376e-06,6.6369e-06,-5.2639e-23,0.11377,-0.0070618,0.29
0.0055995,236.48,9.9078e-11,0.35073,-4.4024e-05,0.35767,0.0011675,-3.1019e-25,-4.4024e-05,-5.978e-06,5.8972e-06,-4.647e-23,0.11681,-0.0066445,0
0.0055995,236.48,9.9078e-11,0.35073,-4.4024e-05,0.35767,0.0011675,-3.1019e-25,-4.4024e-05,-5.978e-06,5.8972e-06,-4.647e-23,0.11681,-0.0066445,0.29
0.0057934,236.48,9.8287e-11,1.2151,-2.603e-05,0.35684,0.0038467,-1.7836e-24,-2.603e-05,-7.5482e-06,4.2407e-06,-9.6382e-24,0.11985,-0.0061464,0
0.0057934,236.48,9.8287e-11,1.2151,-2.603e-05,0.35684,0.0038467,-1.7836e-24,-2.603e-05,-7.5482e-06,4.2407e-06,-9.6382e-24,0.11985,-0.0061464,0.29
0.0058353,236.48,9.6307e-11,3.4041,-2.6662e-06,0.35476,0.010523,-4.7175e-25,-2.6662e-06,-8.4364e-06,1.9501e-06,1.5193e-23,0.12288,-0.0055833,0
0.0058353,236.48,9.6307e-11,3.4041,-2.6662e-06,0.35476,0.010523,-4.7175e-25,-2.6662e-06,-8.4364e-06,1.9501e-06,1.5193e-23,0.12288,-0.0055833,0.29
0.005801,236.48,9.2232e-11,8.0128,2.4612e-05,0.35037,0.024765,3.173e-24,2.4612e-05,-8.4875e-06,-5.4605e-07,3.2824e-23,0.12589,-0.0049706,0
0.005801,236.48,9.2232e-11,8.0128,2.4612e-05,0.35037,0.024765,3.173e-24,2.4612e-05,-8.4875e-06,-5.4605e-07,3.2824e-23,0.12589,-0.0049706,0.29
0.0058046,236.48,8.7265e-11,13.786,5.4055e-05,0.34488,0.073413,-9.3058e-25,5.4055e-05,-7.8945e-06,-2.8372e-06,4.4093e-24,0.1289,-0.0043229,0
0.0058046,236.48,8.7265e-11,13.786,5.4055e-05,0.34488,0.073413,-9.3058e-25,5.4055e-05,-7.8945e-06,-2.8372e-06,4.4093e-24,0.1289,-0.0043229,0.29
0.0058983,236.48,8.2878e-11,19.072,8.3981e-05,0.33985,0.11251,8.2718e-25,8.3981e-05,-6.9311e-06,-4.7673e-06,-2.6188e-23,0.13191,-0.0036545,0
0.0058983,236.48,8.2878e-11,19.072,8.3981e-05,0.33985,0.11251,8.2718e-25,8.3981e-05,-6.9311e-06,-4.7673e-06,-2.6188e-23,0.13191,-0.0036545,0.29
0.0060596,236.48,7.9425e-11,23.355,0.00011279,0.33577,0.11251,8.2718e-24,0.00011279,-5.7565e-06,-6.3273e-06,1.3912e-23,0.13491,-0.0029796,0
0.0060596,236.48,7.9425e-11,23.355,0.00011279,0.33577,0.11251,8.2718e-24,0.00011279,-5.7565e-06,-6.3273e-06,1.3912e-23,0.13491,-0.0029796,0.29
0.0062515,236.48,7.7211e-11,26.17,0.00013896,0.33309,0.11251,-3.805e-23,0.00013896,-4.5071e-06,-7.521e-06,1.8038e-23,0.13791,-0.0023119,0
0.0062515,236.48,7.7211e-11,26.17,0.00013896,0.33309,0.11251,-3.805e-23,0.00013896,-4.5071e-06,-7.521e-06,1.8038e-23,0.13791,-0.0023119,0.29
0.006405,236.48,7.5855e-11,27.921,0.00016124,0.33143,0.11251,-1.2242e-22,0.00016124,-3.2638e-06,-8.3346e-06,-4.9108e-23,0.14092,-0.0016656,0
0.006405,236.48,7.5855e-11,27.921,0.00016124,0.33143,0.11251,-1.2242e-22,0.00016124,-3.2638e-06,-8.3346e-06,-4.9108e-23,0.14092,-0.0016656,0.29
0.006495,236.48,7.4945e-11,29.11,0.00017898,0.33029,0.11251,-3.4741e-23,0.00017898,-2.0837e-06,-8.8089e-06,-1.918e-23,0.14394,-0.0010549,0
0.006495,236.48,7.4945e-11,29.11,0.00017898,0.33029,0.11251,-3.4741e-23,0.00017898,-2.0837e-06,-8.8089e-06,-1.918e-23,0.14394,-0.0010549,0.29
0.0063836,236.48,7.5364e-11,28.564,0.00019136,0.33081,0.11251,5.6248e-23,0.00019136,-1.2911e-06,-8.8335e-06,1.2859e-23,0.14696,-0.00049461,0
0.0063836,236.48,7.5364e-11,28.564,0.00019136,0.33081,0.11251,5.6248e-23,0.00019136,-1.2911e-06,-8.8335e-06,1.2859e-23,0.14696,-0.00049461,0.29
0.0062419,236.48,7.6202e-11,27.469,0.00019604,0.33186,0.11251,1.9852e-23,0.00019604,-1.0725e-06,-8.6934e-06,-1.6468e-23,0.15,0,0
0.0062419,236.48,7.6202e-11,27.469,0.00019604,0.33186,0.11251,1.9852e-23,0.00019604,-1.0725e-06,-8.6934e-06,-1.6468e-23,0.15,0,0.29
